,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
0,ADA,ADA,137400,114688,176400,50280,0,0,801,718,93360,7555,1301,9,4,64722.555555555555,7,2,no,no,not specific,no,core,0,0,0,0,0,0,0,11,0,0,0,0,1,11,1,0,no,no,not specific,1.1,0
2,ADA,ADE,303360,564224,594360,812520,1412280,967464,1578,32148,3714000,12307,5735,11,4,765452.3636363636,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,1,0,8,2,3,3.6666666666666665,1,2,no,no,not specific,0.1,5
4,ADA,ADF,18000,57344,61080,335160,552840,206806,3717,13532,987600,1763,170,11,4,203455.63636363635,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,no,no,not specific,0,1
6,ADA,ADL,181200,199680,463920,514560,667200,1343231,19408,25870,2946000,6001,5464,11,4,579321.2727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,3,3,3,2.6666666666666665,1,2,no,no,not specific,0.2,3
8,ADA,AFD,0,0,0,0,0,0,0,0,0,0,4839,1,1,4839,0,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
10,ADA,AIA,0,125440,151920,45960,337320,770457,551,6069,658320,0,0,8,2,262004.625,8,0,no,no,not specific,no,cel_specific,0,0,0,0,1,1,0,3,2,0,0,0,4,1.75,4,0,no,no,not specific,0.7,0
12,ADA,AIB,215520,303360,265320,240000,374520,536953,11054,26466,884160,4540,4154,11,4,260549.72727272726,9,2,no,no,core,no,core,2,1,0,1,2,1,2,10,6,0,6,6,10,3.7,8,2,no,no,not specific,2.5,6
14,ADA,AIM,13440,10496,0,17280,49200,41563,483,258,194880,0,0,8,2,40950,8,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
16,ADA,AIY,0,0,0,0,0,0,0,398,0,0,0,1,1,398,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
18,ADA,AIZ,133440,225536,0,116760,310920,232151,1153,1534,14160,12004,5525,10,4,105318.3,8,2,no,no,not specific,no,core,0,0,0,1,0,0,0,0,0,0,5,0,2,3,1,1,no,no,not specific,0.1,2.5
20,ADA,ALM,468840,1058816,1104360,1026240,2082120,2487428,22909,2650,2490240,1866,4062,11,4,977230.0909090909,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,no,no,not specific,0,1.5
22,ADA,ALN,0,0,0,0,58440,6082,0,314,6000,2059,0,5,3,14579,4,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,7,0,1,7,0,1,no,no,not specific,0,3.5
24,ADA,ASE,13560,0,1200,0,13920,0,0,1884,3840,0,0,5,2,6880.8,5,0,no,no,not specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
26,ADA,ASG,0,0,0,0,0,0,0,77,0,0,0,1,1,77,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
28,ADA,ASH,1944240,2816256,1518840,2086920,4461120,5417532,70727,55070,8068320,0,0,9,2,2937669.4444444445,9,0,yes,no,cel_specific,no,cel_specific,0,2,0,0,2,1,1,2,0,0,0,0,5,1.6,5,0,no,no,not specific,0.8,0
30,ADA,ASI,0,0,0,0,0,0,0,228,0,0,0,1,1,228,1,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,no,no,not specific,0,0.5
