gtype,N,phi,lambda_max,a0_pred,rel_err,log_N,log_phi,log_err
er,20,0.05552325581395348,6.069814131085032,0.027458281764037078,0.008907982823893532,2.995732273553991,-2.8909353120117967,-4.720695205195479
ba,20,0.19,4.3503855561627205,0.038310780622781364,0.002049536590504171,2.995732273553991,-1.6607259436776065,-6.189653768617309
ws,20,0.01840490797546012,4.099524136039645,0.0406551251159788,0.010908811597069292,2.995732273553991,-3.9950835802813214,-4.518092748115845
er,20,0.09970238095238095,6.186647361129714,0.026939739238060027,0.0071665928820594475,2.995732273553991,-2.305555691331736,-4.938185401510184
ba,20,0.2918032786885247,4.631720188050948,0.03598375115505432,0.009213197533771223,2.995732273553991,-1.2316719799148514,-4.687009774259833
ws,20,0.02439024390243903,4.14957878651714,0.04016471917781197,0.022839808970818522,2.995732273553991,-3.7135310675447846,-3.7792064757839783
er,20,0.1347181008902077,6.141955882573708,0.02713576421796556,0.02054908137818282,2.995732273553991,-2.0045634024251204,-3.884890378038838
ba,20,0.2839779005524862,4.77055235754621,0.03493655538714047,0.012012352453413564,2.995732273553991,-1.2588553374101283,-4.42173654333977
ws,20,0.01840490797546012,4.087235559840398,0.04077735775844905,0.030508141449364815,2.995732273553991,-3.9950835802813214,-3.4897289206244277
er,20,0.10502958579881658,6.1326740223705,0.027176834454058264,0.019066673143881396,2.995732273553991,-2.2535036779202136,-3.9597608833911866
ba,20,0.25517241379310357,4.637703323086133,0.035937328254054705,0.010491418843067092,2.995732273553991,-1.3658119108651097,-4.557102297542973
ws,20,0.03614457831325301,4.187616236326303,0.03979989026236068,0.008633236936478238,2.995732273553991,-3.320200652844537,-4.752019939964758
mixed,20,0.15917874396135268,6.839587162171361,0.02436794249636481,0.01876629499806391,2.995732273553991,-1.837721250090759,-3.975639551818342
mixed,20,0.540625,3.5497748193803185,0.04695133498517564,0.03708858344446773,2.995732273553991,-0.6150275515867213,-3.2944191184828333
er,30,0.08875661375661376,6.058695710708328,0.027508670945810137,0.007089212222928741,3.4011973816621555,-2.4218460654993454,-4.949040006173982
ba,30,0.3341825902335455,5.3181705004476205,0.03133909803242274,0.024951657063105544,3.4011973816621555,-1.0960647656614806,-3.690774966939602
ws,30,0.02439024390243903,4.135734371890989,0.04029917100078683,0.019568754886919653,3.4011973816621555,-3.7135310675447846,-3.9337700225928223
er,30,0.14183673469387753,6.737042440896116,0.02473884766629106,0.0038309079561805338,3.4011973816621555,-1.9530715881990675,-5.564392438947876
ba,30,0.45126859142607195,5.597092150675995,0.029777366921953808,0.00534202860315431,3.4011973816621555,-0.7956903543748369,-5.231962632632415
ws,30,0.004149377593360996,4.036658355682186,0.041288276584531616,0.018360918866019666,3.4011973816621555,-5.48455596252649,-3.9974763858511735
er,30,0.09821596244131456,7.232806656815521,0.023043152482116414,0.005376571842209103,3.4011973816621555,-2.320576344920176,-5.2255183371330896
ba,30,0.4224677716390425,5.692429982496192,0.029278650273987482,0.021510660250783246,3.4011973816621555,-0.8616397481970025,-3.839160153614481
ws,30,0.039999999999999994,4.215705921059297,0.03953469947561895,0.015238816234632531,3.4011973816621555,-3.2188508251806955,-4.183843786891314
er,30,0.08421052631578949,6.376545486198334,0.02613745436732273,0.013432535810790564,3.4011973816621555,-2.474423474991212,-4.310001026047637
ba,30,0.3664646464646463,5.441387490795489,0.03062944275675932,0.0017422351562803645,3.4011973816621555,-1.0038504961151924,-6.352012606868365
ws,30,0.020408163265306124,4.106916159761902,0.04058195010154021,0.012689073288749462,3.4011973816621555,-3.8917712993110873,-4.366935221957352
mixed,30,0.3727927927927926,5.740528297048639,0.02903333248132485,0.012951702199331878,3.4011973816621555,-0.9867298465432431,-4.3464508485628315
mixed,30,0.33494191242180515,5.608009473751513,0.029719398201225575,0.0033848914509848646,3.4011973816621555,-1.0937951723597992,-5.688138053970282
er,50,0.1126500461680517,7.004646450589185,0.02379373003938661,0.003485498540335298,3.912023005428146,-2.1834603252579545,-5.658857329965193
ba,50,0.5279897567221511,6.723820377685733,0.024787495397673245,0.0018719902709754361,3.912023005428146,-0.6386765016371582,-6.280219049887421
ws,50,0.02439024390243903,4.1240903223678815,0.04041295258804458,0.006637398430503069,3.912023005428146,-3.7135310675447846,-5.014884544812689
er,50,0.09996527777777779,7.172591640477872,0.023236603311709316,0.013816863646165061,3.912023005428146,-2.3029223720884673,-4.2817930568058005
ba,50,0.39168316831683164,5.9143092048565915,0.028180242340019482,0.053543926641002236,3.912023005428146,-0.9372994570060842,-2.927234227174084
ws,50,0.0267639902676399,4.157094328293363,0.040092106049248434,0.001354497821233334,3.912023005428146,-3.620660578759504,-6.603586496379606
er,50,0.1409601634320736,6.8156268487617595,0.024453607916775276,0.024151104470544235,3.912023005428146,-1.9592708631955704,-3.723383761042725
ba,50,0.3825125628140704,5.998503945009924,0.027784705685709263,0.03875643001816819,3.912023005428146,-0.9609911680067396,-3.250432799158666
ws,50,0.029126213592233007,4.195986680177766,0.0397204946941361,0.013550624605227452,3.912023005428146,-3.5360823668175683,-4.301248841778749
er,50,0.09447441860465115,6.9681778201259,0.023918256819636583,0.001729856160765686,3.912023005428146,-2.3594155989053696,-6.35913910227442
ba,50,0.4302318392581143,6.031126754618166,0.027634416162626057,0.03313771986622049,3.912023005428146,-0.8434287301987446,-3.4070528957859136
ws,50,0.0267639902676399,4.188319090572417,0.03979321132475806,0.01540613991962783,3.912023005428146,-3.620660578759504,-4.1729242458616005
mixed,50,0.4044733420026007,6.487441494596367,0.025690661997567085,0.03449618096642886,3.912023005428146,-0.9051669758858032,-3.366877669401362
mixed,50,0.43428571428571416,4.272661904093808,0.03900768897884869,0.02027773977687383,3.912023005428146,-0.8340503310082554,-3.898182243369789
er,80,0.1423605497170574,6.21744173717218,0.026806309365187568,0.03936617894437596,4.382026634673881,-1.9493853324970543,-3.2348228315499905
ba,80,0.4265786993402451,6.345697595586115,0.026264514524391335,0.05760373051821099,4.382026634673881,-0.8519560611839752,-2.8541505876002593
ws,80,0.0258751902587519,4.2376856053729455,0.03932964409991875,0.0035772628445174806,4.382026634673881,-3.654432028116349,-5.6328778352976485
er,79,0.1113544648708309,6.486801350285814,0.025693197258048174,0.0037927303055773514,4.3694478524670215,-2.1950278081639696,-5.574405494451034
ba,80,0.4504065040650406,6.419033956172541,0.02596444695644585,0.08742714414920269,4.382026634673881,-0.7976025414050376,-2.4369380327193886
ws,80,0.02439024390243903,4.16917279111301,0.03997595566725672,0.004247662279108608,4.382026634673881,-3.7135310675447846,-5.461151103449261
er,80,0.12244242099625069,7.319506154197149,0.02277020650786621,0.03675817964833072,4.382026634673881,-2.1001062251102507,-3.3033672981655724
ba,80,0.467716535433071,6.54448840728147,0.025466721964276306,0.0665817294315323,4.382026634673881,-0.7598907220451393,-2.70931005290934
ws,80,0.03177004538577913,4.187941495378376,0.03979679917940414,0.0154976914558403,4.382026634673881,-3.4491999264331517,-4.166999680824542
er,80,0.18164756446991404,7.404817306022483,0.02250787018487457,0.02481365348024185,4.382026634673881,-1.7056814230716466,-3.6963209341650822
ba,80,0.5186708860759495,7.170234970378935,0.02324424058000691,0.058341589504352816,4.382026634673881,-0.6564837998341054,-2.841422929097154
ws,80,0.022900763358778626,4.151915991093486,0.04014210957644445,0.00010897090026086296,4.382026634673881,-3.7765413688197365,-9.115294770252616
mixed,80,0.4939948892674617,4.850883891415567,0.03435799957232756,0.02722895063577139,4.382026634673881,-0.7052280831497647,-3.603437785159978
